run,mcfp_time,myalg_time,mcfp_throughput,myalg_throughput,compare_ratio
1,0.136520,0.000611,50.98,40.00,0.7846
2,0.126763,0.000416,62.00,62.00,1.0000
3,0.126206,0.000589,50.00,52.00,1.0400
4,0.120942,0.000414,50.00,50.00,1.0000
5,0.131014,0.000584,49.78,51.00,1.0246
6,0.123085,0.000569,52.09,53.00,1.0174
7,0.139252,0.000497,40.00,40.00,1.0000
8,0.137630,0.000404,50.00,50.00,1.0000
9,0.124646,0.000548,57.27,59.00,1.0302
10,0.131243,0.000412,64.00,64.00,1.0000
11,0.130903,0.000543,40.00,40.00,1.0000
12,0.123784,0.000421,61.00,61.00,1.0000
13,0.131062,0.000602,40.00,40.00,1.0000
14,0.128634,0.000561,51.54,55.00,1.0672
15,0.127583,0.000640,40.00,40.00,1.0000
16,0.132223,0.000415,58.00,58.00,1.0000
17,0.130121,0.000442,51.00,51.00,1.0000
18,0.121455,0.000391,57.00,57.00,1.0000
19,0.124365,0.000427,51.06,40.00,0.7833
20,0.125582,0.000499,55.00,55.00,1.0000
21,0.126694,0.000449,59.00,40.00,0.6780
22,3.658645,0.000516,50.67,52.00,1.0263
23,0.129451,0.000553,61.00,54.00,0.8852
24,0.125539,0.000485,49.00,49.00,1.0000
25,0.132687,0.000439,58.10,40.00,0.6885
26,0.140867,0.000483,55.00,55.00,1.0000
27,0.129812,0.000486,48.16,50.00,1.0381
28,0.125942,0.000409,67.00,67.00,1.0000
29,0.126749,0.000721,49.57,51.00,1.0289
30,0.132133,0.000392,68.00,68.00,1.0000
31,0.131356,0.000524,53.33,55.00,1.0313
32,0.126218,0.000448,63.00,63.00,1.0000
33,0.125566,0.000423,51.00,51.00,1.0000
34,0.124238,0.000397,64.00,64.00,1.0000
35,0.131883,0.000485,48.00,48.00,1.0000
36,0.133462,0.000576,51.20,54.00,1.0547
37,0.125941,0.000414,69.00,69.00,1.0000
38,0.125526,0.000397,59.00,59.00,1.0000
39,0.139416,0.000455,48.33,45.00,0.9310
40,0.132876,0.000424,62.00,62.00,1.0000
41,0.134210,0.000612,53.06,56.00,1.0554
42,0.133764,0.000514,50.98,40.00,0.7846
43,0.122525,0.000373,61.00,61.00,1.0000
44,0.127542,0.000466,58.00,58.00,1.0000
45,0.129338,0.000569,58.60,60.00,1.0238
46,0.119082,0.000401,62.00,62.00,1.0000
47,0.130466,0.000527,50.98,53.00,1.0396
48,0.124562,0.000554,59.00,59.00,1.0000
49,0.135331,0.000466,40.00,40.00,1.0000
50,0.127578,0.000525,54.00,47.00,0.8704
51,0.128038,0.000438,49.41,40.00,0.8095
52,0.130897,0.000481,50.00,50.00,1.0000
53,0.121900,0.000398,53.00,53.00,1.0000
54,0.130882,0.000567,49.09,50.00,1.0185
55,0.132733,0.000504,49.78,51.00,1.0246
56,0.125479,0.000574,54.00,54.00,1.0000
57,0.127392,0.000479,48.00,48.00,1.0000
58,0.130647,0.000527,66.00,51.00,0.7727
59,4.312311,0.000496,53.95,55.00,1.0194
60,0.127636,0.000411,55.00,55.00,1.0000
61,0.123748,0.000416,67.00,67.00,1.0000
62,0.133382,0.000413,60.00,60.00,1.0000
63,0.127198,0.000421,57.00,57.00,1.0000
64,3.844582,0.000587,50.77,54.00,1.0636
65,0.138453,0.000587,55.61,56.00,1.0070
66,0.128718,0.000430,50.57,40.00,0.7910
67,6.276836,0.000556,54.55,56.00,1.0267
68,0.133267,0.000480,51.00,51.00,1.0000
69,0.126652,0.000418,56.00,56.00,1.0000
70,0.119227,0.000391,47.00,47.00,1.0000
71,0.123412,0.000423,48.00,48.00,1.0000
72,0.128335,0.000411,55.00,55.00,1.0000
73,0.123297,0.000422,56.00,56.00,1.0000
74,0.128307,0.000403,61.00,61.00,1.0000
75,0.120990,0.000335,66.00,66.00,1.0000
76,0.124059,0.000492,53.00,53.00,1.0000
77,0.122708,0.000390,55.00,55.00,1.0000
78,0.136956,0.000530,48.28,52.00,1.0771
79,4.948406,0.000510,52.73,44.00,0.8345
80,0.123019,0.000411,52.00,52.00,1.0000
81,0.131377,0.000567,53.08,57.00,1.0739
82,0.130412,0.000485,55.00,55.00,1.0000
83,0.120888,0.000394,54.00,54.00,1.0000
84,0.125428,0.000566,40.00,40.00,1.0000
85,0.123848,0.000408,66.00,66.00,1.0000
86,0.115354,0.000397,53.00,53.00,1.0000
87,0.134191,0.000549,69.00,60.00,0.8696
88,0.127525,0.000515,56.00,56.00,1.0000
89,0.136676,0.000523,58.00,58.00,1.0000
90,0.125495,0.000517,58.00,58.00,1.0000
91,0.126944,0.000494,40.00,35.00,0.8750
92,0.123197,0.000448,54.00,54.00,1.0000
93,0.124018,0.000468,58.00,58.00,1.0000
94,0.122097,0.000399,57.00,57.00,1.0000
95,0.124789,0.000407,52.00,52.00,1.0000
96,0.141906,0.000478,50.00,50.00,1.0000
97,0.129607,0.000563,40.00,40.00,1.0000
98,0.125872,0.000498,69.00,65.00,0.9420
99,0.124392,0.000408,60.00,60.00,1.0000
100,0.128707,0.000494,54.29,40.00,0.7368
