run,mcfp_time,myalg_time,mcfp_throughput,myalg_throughput,compare_ratio
1,5.046541,0.000601,50.61,40.00,0.7903
2,0.133470,0.000409,65.00,65.00,1.0000
3,0.135886,0.000489,53.00,53.00,1.0000
4,0.140066,0.001272,61.00,61.00,1.0000
5,0.143139,0.000446,52.00,52.00,1.0000
6,0.138391,0.000445,60.00,60.00,1.0000
7,0.146420,0.000576,62.00,62.00,1.0000
8,0.146679,0.000711,60.00,60.00,1.0000
9,0.140140,0.000498,67.00,67.00,1.0000
10,0.139757,0.000526,58.00,58.00,1.0000
11,0.141543,0.000471,63.00,63.00,1.0000
12,0.142055,0.000501,57.00,57.00,1.0000
13,0.135182,0.000442,64.00,64.00,1.0000
14,0.131661,0.000476,66.00,66.00,1.0000
15,7.134647,0.000562,59.00,59.00,1.0000
16,0.136057,0.000443,58.00,58.00,1.0000
17,0.136166,0.000454,54.00,54.00,1.0000
18,0.133909,0.000425,55.00,55.00,1.0000
19,0.134366,0.000415,71.00,71.00,1.0000
20,0.140876,0.000428,66.00,66.00,1.0000
21,0.139409,0.000534,50.20,53.00,1.0559
22,4.596828,0.000538,48.70,50.00,1.0268
23,0.130102,0.000422,58.00,58.00,1.0000
24,0.133733,0.000465,51.67,46.00,0.8903
25,0.132124,0.000413,54.00,54.00,1.0000
26,0.125277,0.000419,69.00,69.00,1.0000
27,0.130463,0.000481,48.00,48.00,1.0000
28,0.123780,0.000435,45.00,45.00,1.0000
29,0.136101,0.000478,59.00,59.00,1.0000
30,0.131048,0.000435,60.00,60.00,1.0000
31,5.226897,0.000483,51.64,56.00,1.0845
32,0.130183,0.000428,59.00,59.00,1.0000
33,0.122587,0.000412,54.00,54.00,1.0000
34,0.124728,0.000440,58.00,58.00,1.0000
35,0.128848,0.000427,60.00,60.00,1.0000
36,0.127291,0.000453,59.00,46.00,0.7797
37,0.123222,0.000409,71.00,71.00,1.0000
38,0.127080,0.000416,63.00,63.00,1.0000
39,0.124575,0.000424,53.00,53.00,1.0000
40,0.140578,0.000422,64.00,64.00,1.0000
41,0.129514,0.000434,67.00,67.00,1.0000
42,0.137620,0.000437,47.00,47.00,1.0000
43,0.126074,0.000434,60.00,60.00,1.0000
44,0.145417,0.000560,66.00,59.00,0.8939
45,0.136944,0.000631,49.52,50.00,1.0096
46,0.133763,0.000444,63.00,63.00,1.0000
47,0.135412,0.000585,56.00,56.00,1.0000
48,0.133805,0.000459,58.00,58.00,1.0000
49,0.149778,0.000438,61.00,61.00,1.0000
50,0.131921,0.000424,60.00,60.00,1.0000
51,0.140155,0.000527,54.55,48.00,0.8800
52,0.144643,0.000489,62.00,62.00,1.0000
53,0.148239,0.000514,54.00,54.00,1.0000
54,0.132953,0.000503,53.00,53.00,1.0000
55,0.136023,0.000438,67.00,67.00,1.0000
56,0.133951,0.000515,55.00,55.00,1.0000
57,0.140144,0.000491,67.00,67.00,1.0000
58,0.143527,0.000472,55.00,55.00,1.0000
59,0.144687,0.000465,66.00,66.00,1.0000
60,0.137575,0.000476,54.00,39.00,0.7222
61,0.133810,0.000501,52.00,52.00,1.0000
62,0.133722,0.000546,54.00,54.00,1.0000
63,4.271445,0.000576,53.33,54.00,1.0125
64,0.135777,0.000436,55.00,55.00,1.0000
65,0.129534,0.000432,66.00,66.00,1.0000
66,0.140781,0.000426,56.00,56.00,1.0000
67,0.130189,0.000427,69.00,69.00,1.0000
68,0.124457,0.000421,59.00,59.00,1.0000
69,0.133869,0.000407,51.00,51.00,1.0000
70,0.132939,0.000421,61.00,61.00,1.0000
71,0.125904,0.000417,54.00,39.00,0.7222
72,0.129034,0.000487,49.00,49.00,1.0000
73,0.126941,0.000412,65.00,65.00,1.0000
74,0.133832,0.000464,66.00,66.00,1.0000
75,0.128402,0.000434,50.00,39.00,0.7800
76,0.134154,0.000424,72.00,72.00,1.0000
77,0.131274,0.000435,59.00,59.00,1.0000
78,0.138713,0.000419,50.00,50.00,1.0000
79,0.137134,0.000410,67.00,67.00,1.0000
80,0.130025,0.000472,69.00,51.00,0.7391
81,0.125305,0.000426,70.00,70.00,1.0000
82,0.127164,0.000400,65.00,65.00,1.0000
83,0.149050,0.000419,65.00,65.00,1.0000
84,4.882442,0.000474,57.39,40.00,0.6970
85,0.125529,0.000431,58.00,58.00,1.0000
86,0.126014,0.000427,71.00,71.00,1.0000
87,0.133991,0.000430,66.00,66.00,1.0000
88,0.130569,0.000415,49.00,49.00,1.0000
89,4.889661,0.000555,52.08,56.00,1.0754
90,4.903560,0.000535,51.82,53.00,1.0228
91,5.695461,0.000527,53.88,57.00,1.0580
92,0.154080,0.000470,71.00,71.00,1.0000
93,0.143225,0.000432,58.00,58.00,1.0000
94,0.137576,0.000450,63.00,63.00,1.0000
95,0.136432,0.000437,52.00,52.00,1.0000
96,0.145781,0.000447,53.00,53.00,1.0000
97,0.125258,0.000494,56.00,56.00,1.0000
98,0.130160,0.000418,78.00,78.00,1.0000
99,0.132273,0.000553,56.17,59.00,1.0504
100,0.123979,0.000411,60.00,60.00,1.0000
