Source,Destination,Second,Packets,Bandwidth (Mbps),Avg Jitter (ms),Loss Rate (%)
2001:db8::6,ff38::6,1744086181,233,8.86,1.324,0.0
2001:db8::6,ff38::6,1744086182,685,7.95,1.595,0.0
2001:db8::6,ff38::6,1744086183,741,8.65,1.395,0.0
2001:db8::6,ff38::6,1744086184,708,8.45,1.469,0.0
2001:db8::6,ff38::6,1744086185,753,8.74,1.424,0.0
2001:db8::6,ff38::6,1744086186,733,8.51,1.443,0.0
2001:db8::6,ff38::6,1744086187,720,8.44,1.480,0.0
2001:db8::6,ff38::6,1744086188,726,8.88,1.362,0.0
2001:db8::6,ff38::6,1744086189,695,8.07,1.540,0.0
2001:db8::6,ff38::6,1744086190,1347,15.64,0.265,0.0
2001:db8::6,ff38::6,1744086191,1090,17.54,0.068,100.0
